IP	count	avg	data	data_200	data_301	data_302	data_400	data_403	data_404	data_408	data_414	data_499	data_500
total	22345	886351.66	8400417948	2003584204	1242059	783633	87637	16073488	12395339	0	1374	0	526342
195.178.213.236	1575	61792.5	0	399397713	150460	254724	0	0	1989349	0	0	0	0
68.51.312.236	1519	60203.03	554093585	81628533	16189	32396	0	0	1086014	0	0	0	0
217.200.64.87	1287	50943.75	582120939	83777086	1408	683	0	2030174	0	0	0	0	0
5.11.67.90	805	31770.66	309375334	50237984	677	0	0	0	0	0	0	0	0
194.177.83.106	215	75.25	1987172	339548	0	0	0	0	0	0	0	0	0
163.146.22.45	162	6212.7	0	27503856	0	0	0	0	2539520	0	0	0	0
188.171.77.100	144	5661.6	40994190	7565660	0	0	0	0	0	0	0	0	0
188.171.72.95	142	5377.06	43693993	7744466	0	0	0	0	0	0	0	0	0
188.171.95.118	142	5601.9	43443583	7762736	0	0	0	0	0	0	0	0	0
188.171.73.96	139	5455.75	39934168	7340991	0	0	0	0	0	0	0	0	0
